timeString,timestamp,waitTimeString,waitTime,address,name
20201026 02:22 PM,2020-10-26T21:22Z,30 Min,30,"455 Grayson Highway, Suite 200, Lawrenceville",Gwinnett Voter Registrations & Elections Office
20201026 02:23 PM,2020-10-26T21:23Z,40 Min,40,"2723 North Bogan Rd, Buford",Bogan Park Community Recreation Center
20201026 02:23 PM,2020-10-26T21:23Z,10 Min,10,"2735 Old Auburn Rd, Dacula",Dacula Park Activity Building
20201026 02:23 PM,2020-10-26T21:23Z,5 Min,5,"55 Buford Highway, Suwanee",George Pierce Park Community Recreation Center
20201026 02:23 PM,2020-10-26T21:23Z,40 Min,40,"2405 Sugarloaf Parkway, Lawrenceville",Gwinnett County Fairgrounds
20201026 02:23 PM,2020-10-26T21:23Z,10 Min,10,"4515 Lenora Church Rd, Snellville",Lenora Park Gym
20201026 02:24 PM,2020-10-26T21:24Z,25 Min,25,"4651 Britt Rd, Norcross",Lucky Shoals Park Community Recreation Center
20201026 02:24 PM,2020-10-26T21:24Z,20 Min,20,"1063 Rockbridge Rd, Stone Mountain",Mountain Park Activity Building
20201026 02:24 PM,2020-10-26T21:24Z,25 Min,25,"2750 Pleasant Hill Rd, Duluth",Shorty Howell Park Activity Building
20201026 03:17 PM,2020-10-26T22:17Z,30 Min,30,"455 Grayson Highway, Suite 200, Lawrenceville",Gwinnett Voter Registrations & Elections Office
20201026 03:17 PM,2020-10-26T22:17Z,20 Min,20,"2723 North Bogan Rd, Buford",Bogan Park Community Recreation Center
20201026 03:17 PM,2020-10-26T22:17Z,30 Min,30,"2735 Old Auburn Rd, Dacula",Dacula Park Activity Building
20201026 03:16 PM,2020-10-26T22:16Z,45 Min,45,"55 Buford Highway, Suwanee",George Pierce Park Community Recreation Center
20201026 03:17 PM,2020-10-26T22:17Z,10 Min,10,"2405 Sugarloaf Parkway, Lawrenceville",Gwinnett County Fairgrounds
20201026 03:18 PM,2020-10-26T22:18Z,15 Min,15,"4515 Lenora Church Rd, Snellville",Lenora Park Gym
20201026 03:17 PM,2020-10-26T22:17Z,10 Min,10,"4651 Britt Rd, Norcross",Lucky Shoals Park Community Recreation Center
20201026 03:16 PM,2020-10-26T22:16Z,20 Min,20,"1063 Rockbridge Rd, Stone Mountain",Mountain Park Activity Building
20201026 03:17 PM,2020-10-26T22:17Z,25 Min,25,"2750 Pleasant Hill Rd, Duluth",Shorty Howell Park Activity Building
20201026 04:17 PM,2020-10-26T23:17Z,30 Min,30,"455 Grayson Highway, Suite 200, Lawrenceville",Gwinnett Voter Registrations & Elections Office
20201026 04:18 PM,2020-10-26T23:18Z,40 Min,40,"2723 North Bogan Rd, Buford",Bogan Park Community Recreation Center
20201026 04:17 PM,2020-10-26T23:17Z,20 Min,20,"2735 Old Auburn Rd, Dacula",Dacula Park Activity Building
20201026 04:17 PM,2020-10-26T23:17Z,30 Min,30,"55 Buford Highway, Suwanee",George Pierce Park Community Recreation Center
20201026 04:18 PM,2020-10-26T23:18Z,10 Min,10,"2405 Sugarloaf Parkway, Lawrenceville",Gwinnett County Fairgrounds
20201026 04:18 PM,2020-10-26T23:18Z,10 Min,10,"4515 Lenora Church Rd, Snellville",Lenora Park Gym
20201026 04:17 PM,2020-10-26T23:17Z,5 Min,5,"4651 Britt Rd, Norcross",Lucky Shoals Park Community Recreation Center
20201026 04:17 PM,2020-10-26T23:17Z,20 Min,20,"1063 Rockbridge Rd, Stone Mountain",Mountain Park Activity Building
20201026 04:18 PM,2020-10-26T23:18Z,30 Min,30,"2750 Pleasant Hill Rd, Duluth",Shorty Howell Park Activity Building
20201026 05:08 PM,2020-10-27T00:08Z,45 Min,45,"2723 North Bogan Rd, Buford",Bogan Park Community Recreation Center
20201026 05:08 PM,2020-10-27T00:08Z,20 Min,20,"2735 Old Auburn Rd, Dacula",Dacula Park Activity Building
20201026 05:10 PM,2020-10-27T00:10Z,20 Min,20,"55 Buford Highway, Suwanee",George Pierce Park Community Recreation Center
20201026 05:08 PM,2020-10-27T00:08Z,1 Hr,60,"2405 Sugarloaf Parkway, Lawrenceville",Gwinnett County Fairgrounds
20201026 05:06 PM,2020-10-27T00:06Z,10 Min,10,"4651 Britt Rd, Norcross",Lucky Shoals Park Community Recreation Center
